route,method,source,access,callers,status,evidence
/api/admin/orders/[ref]/tracking,POST,src/pages/api/admin/orders/[ref]/tracking.ts,admin middleware,Dynamic/form/external caller; see source and workflow matrix,"HTTP boundary checked; source reviewed; happy paths covered by subsystem suite, not individually certified",unauthenticated=302; authenticated-empty=302; malformed=500; csrf=403; unsupported-method=404
/api/admin/orders/clear,POST,src/pages/api/admin/orders/clear.ts,admin middleware,src/pages/admin/orders/index.astro,"HTTP boundary checked; source reviewed; happy paths covered by subsystem suite, not individually certified",unauthenticated=302; authenticated-empty=302; malformed=500; csrf=403; unsupported-method=404
/api/admin/report-cover,POST,src/pages/api/admin/report-cover.ts,admin middleware,src/scripts/cover-review.ts,"HTTP boundary checked; source reviewed; happy paths covered by subsystem suite, not individually certified",unauthenticated=302; authenticated-empty=400; malformed=500; csrf=403; unsupported-method=404
/api/admin/sales/books,POST,src/pages/api/admin/sales/books.ts,admin middleware,src/pages/admin/sales/[id].astro,"HTTP boundary checked; source reviewed; happy paths covered by subsystem suite, not individually certified",unauthenticated=302; authenticated-empty=400; malformed=500; csrf=403; unsupported-method=404
/api/admin/sales,POST,src/pages/api/admin/sales/index.ts,admin middleware,src/pages/admin/sales/[id].astro; src/pages/admin/sales/index.astro; src/pages/admin/sales/new.astro; src/pages/admin/sales/[id]/preview.astro,"HTTP boundary checked; source reviewed; happy paths covered by subsystem suite, not individually certified",unauthenticated=302; authenticated-empty=400; malformed=500; csrf=403; unsupported-method=404
/api/admin/settings/unbind-telegram,POST,src/pages/api/admin/settings/unbind-telegram.ts,admin middleware,src/pages/admin/settings.astro,"HTTP boundary checked; source reviewed; happy paths covered by subsystem suite, not individually certified",unauthenticated=302; authenticated-empty=302; malformed=302; csrf=403; unsupported-method=404
/api/admin/settings,POST,src/pages/api/admin/settings.ts,admin middleware,src/pages/admin/settings.astro,"HTTP boundary checked; source reviewed; happy paths covered by subsystem suite, not individually certified",unauthenticated=302; authenticated-empty=302; malformed=500; csrf=403; unsupported-method=404
/api/admin/shelves/create,POST,src/pages/api/admin/shelves/create.ts,admin middleware,src/pages/admin/shelves.astro,"HTTP boundary checked; source reviewed; happy paths covered by subsystem suite, not individually certified",unauthenticated=302; authenticated-empty=302; malformed=500; csrf=403; unsupported-method=404
/api/admin/shelves/delete,POST,src/pages/api/admin/shelves/delete.ts,admin middleware,src/components/admin/ShelfRow.astro,"HTTP boundary checked; source reviewed; happy paths covered by subsystem suite, not individually certified",unauthenticated=302; authenticated-empty=302; malformed=500; csrf=403; unsupported-method=404
/api/admin/shelves/move,POST,src/pages/api/admin/shelves/move.ts,admin middleware,src/components/admin/ShelfRow.astro,"HTTP boundary checked; source reviewed; happy paths covered by subsystem suite, not individually certified",unauthenticated=302; authenticated-empty=302; malformed=500; csrf=403; unsupported-method=404
/api/admin/shelves/update,POST,src/pages/api/admin/shelves/update.ts,admin middleware,src/components/admin/ShelfRow.astro,"HTTP boundary checked; source reviewed; happy paths covered by subsystem suite, not individually certified",unauthenticated=302; authenticated-empty=302; malformed=500; csrf=403; unsupported-method=404
/api/admin/shipments/[id]/add,POST,src/pages/api/admin/shipments/[id]/add.ts,admin middleware,Dynamic/form/external caller; see source and workflow matrix,"HTTP boundary checked; source reviewed; happy paths covered by subsystem suite, not individually certified",unauthenticated=302; authenticated-empty=404; malformed=500; csrf=403; unsupported-method=404
/api/admin/shipments/[id]/arrived,POST,src/pages/api/admin/shipments/[id]/arrived.ts,admin middleware,Dynamic/form/external caller; see source and workflow matrix,"HTTP boundary checked; source reviewed; happy paths covered by subsystem suite, not individually certified",unauthenticated=302; authenticated-empty=400; malformed=500; csrf=403; unsupported-method=404
/api/admin/shipments/[id]/details,POST,src/pages/api/admin/shipments/[id]/details.ts,admin middleware,Dynamic/form/external caller; see source and workflow matrix,"HTTP boundary checked; source reviewed; happy paths covered by subsystem suite, not individually certified",unauthenticated=302; authenticated-empty=302; malformed=500; csrf=403; unsupported-method=404
/api/admin/shipments/[id]/notices,GET,src/pages/api/admin/shipments/[id]/notices.ts,admin middleware,Dynamic/form/external caller; see source and workflow matrix,"HTTP boundary checked; source reviewed; happy paths covered by subsystem suite, not individually certified",unauthenticated=302; authenticated-empty=200; unsupported-method=404
/api/admin/shipments/[id]/open,POST,src/pages/api/admin/shipments/[id]/open.ts,admin middleware,Dynamic/form/external caller; see source and workflow matrix,"HTTP boundary checked; source reviewed; happy paths covered by subsystem suite, not individually certified",unauthenticated=302; authenticated-empty=302; malformed=302; csrf=403; unsupported-method=404
/api/admin/shipments/[id]/promote,POST,src/pages/api/admin/shipments/[id]/promote.ts,admin middleware,Dynamic/form/external caller; see source and workflow matrix,"HTTP boundary checked; source reviewed; happy paths covered by subsystem suite, not individually certified",unauthenticated=302; authenticated-empty=400; malformed=500; csrf=403; unsupported-method=404
/api/admin/shipments/[id]/save,POST,src/pages/api/admin/shipments/[id]/save.ts,admin middleware,Dynamic/form/external caller; see source and workflow matrix,"HTTP boundary checked; source reviewed; happy paths covered by subsystem suite, not individually certified",unauthenticated=302; authenticated-empty=302; malformed=500; csrf=403; unsupported-method=404
/api/admin/shipments,POST,src/pages/api/admin/shipments/index.ts,admin middleware,src/pages/admin/shipments/[id].astro; src/pages/admin/shipments/new.astro; src/pages/admin/shipments/[id]/receive.astro,"HTTP boundary checked; source reviewed; happy paths covered by subsystem suite, not individually certified",unauthenticated=302; authenticated-empty=400; malformed=500; csrf=403; unsupported-method=404
/api/admin/sign-out-everywhere,POST,src/pages/api/admin/sign-out-everywhere.ts,admin middleware,src/pages/admin/settings.astro,"HTTP boundary checked; source reviewed; happy paths covered by subsystem suite, not individually certified",unauthenticated=302; authenticated-empty=302; malformed=302; csrf=403; unsupported-method=404
/api/admin/upload,POST,src/pages/api/admin/upload.ts,admin middleware,src/pages/admin/books/[id].astro,"HTTP boundary checked; source reviewed; happy paths covered by subsystem suite, not individually certified",unauthenticated=302; authenticated-empty=400; malformed=500; csrf=403; unsupported-method=404
/api/admin/upload,DELETE,src/pages/api/admin/upload.ts,admin middleware,src/pages/admin/books/[id].astro,"HTTP boundary checked; source reviewed; happy paths covered by subsystem suite, not individually certified",unauthenticated=302; authenticated-empty=400; malformed=500; csrf=403; unsupported-method=404
/api/basket,GET,src/pages/api/basket.ts,route-specific/public,src/scripts/reorder.ts; src/pages/checkout.astro; src/pages/basket.astro; src/pages/shipments/[id].astro; src/pages/book/[slug].astro,"HTTP boundary checked; source reviewed; happy paths covered by subsystem suite, not individually certified",unauthenticated=200; authenticated-empty=200; unsupported-method=404
/api/basket,POST,src/pages/api/basket.ts,route-specific/public,src/scripts/reorder.ts; src/pages/checkout.astro; src/pages/basket.astro; src/pages/shipments/[id].astro; src/pages/book/[slug].astro,"HTTP boundary checked; source reviewed; happy paths covered by subsystem suite, not individually certified",unauthenticated=200; authenticated-empty=200; malformed=200; csrf=403; unsupported-method=404
/api/books/alert,POST,src/pages/api/books/alert.ts,route-specific/public,src/pages/book/[slug].astro,"HTTP boundary checked; source reviewed; happy paths covered by subsystem suite, not individually certified",unauthenticated=400; authenticated-empty=400; malformed=500; csrf=403; unsupported-method=404
/api/group,POST,src/pages/api/group/index.ts,route-specific/public,src/pages/checkout.astro; src/pages/basket.astro; src/pages/book/[slug].astro,"HTTP boundary checked; source reviewed; happy paths covered by subsystem suite, not individually certified",unauthenticated=400; authenticated-empty=400; malformed=400; csrf=403; unsupported-method=404
/api/group,GET,src/pages/api/group/index.ts,route-specific/public,src/pages/checkout.astro; src/pages/basket.astro; src/pages/book/[slug].astro,"HTTP boundary checked; source reviewed; happy paths covered by subsystem suite, not individually certified",unauthenticated=404; authenticated-empty=404; unsupported-method=404
/api/group/line,POST,src/pages/api/group/line.ts,route-specific/public,src/pages/basket.astro; src/pages/book/[slug].astro,"HTTP boundary checked; source reviewed; happy paths covered by subsystem suite, not individually certified",unauthenticated=400; authenticated-empty=400; malformed=400; csrf=403; unsupported-method=404
/api/orders/cancel,POST,src/pages/api/orders/cancel.ts,route-specific/public,src/pages/order/index.astro,"HTTP boundary checked; source reviewed; happy paths covered by subsystem suite, not individually certified",unauthenticated=404; authenticated-empty=404; malformed=500; csrf=403; unsupported-method=404
/api/orders/link-status,GET,src/pages/api/orders/link-status.ts,route-specific/public,src/pages/order/index.astro,"HTTP boundary checked; source reviewed; happy paths covered by subsystem suite, not individually certified",unauthenticated=200; authenticated-empty=200; unsupported-method=404
/api/orders/lookup,POST,src/pages/api/orders/lookup.ts,route-specific/public,src/lib/email.ts,"HTTP boundary checked; source reviewed; happy paths covered by subsystem suite, not individually certified",unauthenticated=302; authenticated-empty=302; malformed=500; csrf=403; unsupported-method=404
/api/orders/message,POST,src/pages/api/orders/message.ts,route-specific/public,src/pages/order/index.astro,"HTTP boundary checked; source reviewed; happy paths covered by subsystem suite, not individually certified",unauthenticated=404; authenticated-empty=404; malformed=500; csrf=403; unsupported-method=404
/api/orders/proof,GET,src/pages/api/orders/proof.ts,route-specific/public,src/pages/order/index.astro; src/pages/api/admin/orders/[ref]/proof.ts,"HTTP boundary checked; source reviewed; happy paths covered by subsystem suite, not individually certified",unauthenticated=404; authenticated-empty=404; unsupported-method=404
/api/orders/reservation,POST,src/pages/api/orders/reservation.ts,route-specific/public,src/pages/order/index.astro,"HTTP boundary checked; source reviewed; happy paths covered by subsystem suite, not individually certified",unauthenticated=400; authenticated-empty=400; malformed=500; csrf=403; unsupported-method=404
/api/orders/status,GET,src/pages/api/orders/status.ts,route-specific/public,src/pages/order/index.astro,"HTTP boundary checked; source reviewed; happy paths covered by subsystem suite, not individually certified",unauthenticated=200; authenticated-empty=200; unsupported-method=404
/api/orders,POST,src/pages/api/orders.ts,route-specific/public,src/middleware.ts; src/lib/email.ts; src/pages/checkout.astro; src/pages/order/index.astro; src/pages/api/admin/orders/[ref]/proof.ts,"HTTP boundary checked; source reviewed; happy paths covered by subsystem suite, not individually certified",unauthenticated=400; authenticated-empty=400; malformed=400; csrf=403; unsupported-method=404
/api/search/suggest,GET,src/pages/api/search/suggest.ts,route-specific/public,src/scripts/search-suggest.ts,"HTTP boundary checked; source reviewed; happy paths covered by subsystem suite, not individually certified",unauthenticated=200; authenticated-empty=200; unsupported-method=404
/api/telegram/webhook,POST,src/pages/api/telegram/webhook.ts,route-specific/public,Dynamic/form/external caller; see source and workflow matrix,"HTTP boundary checked; source reviewed; happy paths covered by subsystem suite, not individually certified",unauthenticated=403; authenticated-empty=403; malformed=403; csrf=403; unsupported-method=404
/api/telegram/webhook,GET,src/pages/api/telegram/webhook.ts,route-specific/public,Dynamic/form/external caller; see source and workflow matrix,"HTTP boundary checked; source reviewed; happy paths covered by subsystem suite, not individually certified",unauthenticated=200; authenticated-empty=200; unsupported-method=404
/feed.xml,GET,src/pages/feed.xml.ts,route-specific/public,Dynamic/form/external caller; see source and workflow matrix,"HTTP boundary checked; source reviewed; happy paths covered by subsystem suite, not individually certified",unauthenticated=200; authenticated-empty=200; unsupported-method=404
/img/[...key],GET,src/pages/img/[...key].ts,route-specific/public,src/pages/api/orders/proof.ts; src/pages/api/orders/message.ts,"HTTP boundary checked; source reviewed; happy paths covered by subsystem suite, not individually certified",unauthenticated=404; authenticated-empty=404; unsupported-method=404
/model/[...key],GET,src/pages/model/[...key].ts,route-specific/public,Dynamic/form/external caller; see source and workflow matrix,"HTTP boundary checked; source reviewed; happy paths covered by subsystem suite, not individually certified",unauthenticated=404; authenticated-empty=404; unsupported-method=404
/sitemap.xml,GET,src/pages/sitemap.xml.ts,route-specific/public,Dynamic/form/external caller; see source and workflow matrix,"HTTP boundary checked; source reviewed; happy paths covered by subsystem suite, not individually certified",unauthenticated=200; authenticated-empty=200; unsupported-method=404
